,Name,Url,Ingredients,Calories,Carbs Grams,Protein Grams,Fat Grams
31,Southwestern Salad with Creamy Avocado Dressing,https://www.eatyourselfskinny.com/southwestern-salad-creamy-avocado-dressing/,"['1 head romaine lettuce chopped', '1 cup cherry tomatoes halved', '1 cup canned black beans drained and rinsed', '2 ears corn kernels sliced from cobs', '½ avocado chopped', '4 green onions chopped', '1 avocado', '1 garlic clove', '¼ cup cilantro leaves', '¼ cup plain Greek yogurt', '3 Tbsp lime juice', '½ tsp. hot sauce (optional)', 'Salt and pepper to taste', '2 Tbsp olive oil', '¼ to ½ cup water (depending on consistency)']",311.0,33.0,10.4,19.4
32,Slow Cooker Chicken Fajita & Quinoa Soup,https://www.eatyourselfskinny.com/slow-cooker-chicken-fajita-quinoa-soup/,"['1½ lb. boneless skinless chicken breasts', '1 cup uncooked quinoa rinsed', '3 bell peppers chopped', '1 medium onion chopped', '3 cloves garlic minced', '4 cups low-sodium chicken broth', 'Juice of 1 lime', '1 (15 oz) can diced tomatoes', '1 (4.5 oz) can green chiles', '1 (15 oz) can black beans drained and rinsed', '1 cup frozen corn', '1½ Tbsp chili powder', '1 Tbsp cumin', '2 tsp. paprika', '2 tsp. sea salt', 'Toppings (optional): Cilantro avocado shredded cheese']",354.0,50.5,29.4,4.6
33,Warm Brussels Sprouts & Sage Salad,https://www.eatyourselfskinny.com/warm-brussels-sprouts-sage-salad/,"['2 Tbsp olive oil', '4 cups shaved brussels sprouts', '1 red onion thinly sliced', '½ cup celery thinly sliced', '1 orange peeled and sliced', '3 Tbsp toasted almond slices', '¼ cup apple cider vinegar', '1 Tbsp honey', '1½ tsp. Dijon mustard', '1 Tbsp olive oil', '1 Tbsp fresh sage roughly chopped', 'Pinch of salt']",207.0,20.8,5.0,13.4
34,Balsamic Roasted Brussels Sprouts,https://www.eatyourselfskinny.com/balsamic-roasted-brussels-sprouts/,"['2 lb. brussels sprouts halved', '1 red onion sliced', '2 Tbsp olive oil', '1 tsp. sea salt', '½ tsp. black pepper', '½ tsp. mustard seeds', '2 Tbsp balsamic vinegar', '1 Tbsp honey', '2 tsp. Dijon mustard']",100.0,14.7,4.0,3.7
35,Healthy Turkey Lettuce Wraps,https://www.eatyourselfskinny.com/healthy-turkey-lettuce-wraps/,"['1¼ lb. fat-free lean ground turkey', '1 Tbsp olive oil', '1 clove garlic minced', '⅛ tsp. ground ginger', '4 green onions thinly sliced', '1 (8 oz) can sliced water chestnuts drained and coarsely chopped', '3 Tbsp hoisin sauce', '2 Tbsp lower-sodium soy sauce (green top)', '1 Tbsp rice vinegar', '2 tsp. roasted red chili paste', 'Pinch of salt', '12 Boston lettuce leaves']",162.0,7.8,23.5,4.3
36,My Favorite Detox Salad!,https://www.eatyourselfskinny.com/my-favorite-detox-salad/,"['2 cups kale', '2 cups broccoli florets', '2 cups brussels sprouts roughly chopped', '2 cups red cabbage roughly chopped', '1 cup carrots roughly chopped', '½ cup fresh parsley', '½ cup almonds', '1 to 2 Tbsp sunflower seeds', '3 Tbsp olive oil', '½ cup lemon juice (or juice of two lemons)', '1 Tbsp fresh ginger peeled and grated', '3 tsp. Dijon mustard', '2 tsp. honey (or maple syrup)', '¼ tsp. sea salt']",175.0,15.4,5.3,11.8
37,Lentil and Sweet Potato Stew,https://www.eatyourselfskinny.com/lentil-and-sweet-potato-stew/,"['1 Tbsp olive oil', '1 onion diced', '2 cloves garlic minced', '2 cups green lentils rinsed', '1 large sweet potato peeled and cubed', '6 cups vegetable broth', '2 bay leaves', '½ tsp. turmeric', '¼ tsp. cumin', '½ tsp. black pepper', '½ tsp. sea salt', 'Fresh parsley as garnish']",231.0,38.3,11.2,2.4
38,Slow Cooker Chicken and Green Chile Soup,https://www.eatyourselfskinny.com/slow-cooker-chicken-and-green-chile-soup/,"['3 boneless skinless chicken breasts', '1 medium onion diced', '3 stalks celery chopped', '4 cloves garlic minced', '4 cups low-sodium chicken broth', '1 (16 oz) jar salsa verde (green salsa)', '2 (4 oz) cans diced green chiles undrained', '2 (15 oz) cans cannellini beans (white beans) rinsed and drained', '1 Tbsp ground cumin', '1 tsp. dried oregano', '¼ tsp. crushed red pepper flakes', '½ tsp. sea salt', '3 Tbsp fresh cilantro chopped']",246.0,30.6,20.7,2.1
39,Brussels Sprouts with Lemon and Brown Rice,https://www.eatyourselfskinny.com/brussels-sprouts-with-lemon-and-brown-rice/,"['1 cup uncooked brown rice', '1¾ cups chicken stock', '4 cups brussels sprouts leaves', '¼ cup lemon juice about 1 lemon', 'Zest of 1 lemon', '1 Tbsp olive oil', '1 clove garlic grated', '¼ tsp. sea salt', 'Lots of cracked pepper to taste', '2 Tbsp parsley chopped', '2 Tbsp grated Parmesan cheese', 'Pecans and cranberries (just a sprinkle)']",264.0,47.1,9.8,5.3
40,Lemon Garlic Zucchini Noodles,https://www.eatyourselfskinny.com/lemon-garlic-zucchini-noodles/,"['4 large zucchinis ends removed', '1 Tbsp olive oil', '2 shallots diced', '4 cloves garlic minced', '2 cups chicken broth', '½ cup half and half', '4 Tbsp lemon juice', 'Zest of one lemon', '1 tsp. red pepper flakes', '½ tsp. sea salt', '1 tsp. pepper', '¼ cup shredded Parmesan cheese']",141.0,24.6,6.3,8.1
